yname     	ytheme 	ypaper   	ylove  	yacquitime	采集时间               
郑少秋       	30690  	1094615  	230657 	2016-11-22	2016-11-22 20:51:42
杨佑宁       	1206   	11814    	2138   	2016-11-22	2016-11-22 20:51:46
于晓光       	2978   	41572    	1266   	2016-11-22	2016-11-22 20:51:50
陈楚河       	8250   	255466   	19583  	2016-11-22	2016-11-22 20:51:54
茅子俊       	3079   	222771   	681870 	2016-11-22	2016-11-22 20:51:58
吴孟达       	1421   	56628    	6547   	2016-11-22	2016-11-22 20:52:03
曹征        	519    	11095    	420    	2016-11-22	2016-11-22 20:52:07
于震        	1939   	26498    	1644   	2016-11-22	2016-11-22 20:52:11
何达        	3938   	169758   	19169  	2016-11-22	2016-11-22 20:52:15
高昊        	7573   	176123   	16888  	2016-11-22	2016-11-22 20:52:19
阮经天       	43903  	1526816  	40760  	2016-11-22	2016-11-22 20:52:23
邢佳栋       	10048  	475196   	7767   	2016-11-22	2016-11-22 20:52:28
郭品超       	32028  	751550   	13197  	2016-11-22	2016-11-22 20:52:32
任柯诺       	2216   	116729   	14571  	2016-11-22	2016-11-22 20:52:36
林文龙       	15447  	644405   	5631   	2016-11-22	2016-11-22 20:52:40
于正        	40673  	1057911  	35605  	2016-11-22	2016-11-22 20:52:44
万梓良       	882    	11774    	56065  	2016-11-22	2016-11-22 20:52:49
黄伟晋       	2506   	182601   	9474   	2016-11-22	2016-11-22 20:52:53
王阳        	761    	43407    	2243   	2016-11-22	2016-11-22 20:52:57
曹骏        	15220  	318082   	17117  	2016-11-22	2016-11-22 20:53:01
侯勇        	6795   	105312   	1915   	2016-11-22	2016-11-22 20:53:05
曹云金       	9141   	168818   	11428  	2016-11-22	2016-11-22 20:53:09
郭晓然       	129    	2345     	285    	2016-11-22	2016-11-22 20:53:14
徐僧        	1815   	39192    	877    	2016-11-22	2016-11-22 20:53:18
张光北       	949    	12127    	376    	2016-11-22	2016-11-22 20:53:22
杜汶泽       	14055  	309572   	21593  	2016-11-22	2016-11-22 20:53:26
潘泰名       	1365   	39435    	692    	2016-11-22	2016-11-22 20:53:31
肖顺尧       	3858   	172330   	54928  	2016-11-22	2016-11-22 20:53:35
王传一       	12944  	132038   	4991   	2016-11-22	2016-11-22 20:53:39
黄浩然       	5048   	113823   	5157   	2016-11-22	2016-11-22 20:53:43
陈志朋       	12942  	264020   	20079  	2016-11-22	2016-11-22 20:53:47
王志文       	3727   	41025    	3187   	2016-11-22	2016-11-22 20:53:51
齐奎        	474    	3492     	198    	2016-11-22	2016-11-22 20:53:56
任达华       	8643   	142262   	28488  	2016-11-22	2016-11-22 20:54:00
李幼斌       	3553   	72136    	2927   	2016-11-22	2016-11-22 20:54:04
李呈媛       	1323   	17840    	2645   	2016-11-22	2016-11-22 20:54:08
贺刚        	1063   	13433    	1061   	2016-11-22	2016-11-22 20:54:12
胡兵        	6943   	67246    	4586   	2016-11-22	2016-11-22 20:54:17
刘恩佑       	5369   	106758   	213765 	2016-11-22	2016-11-22 20:54:21
郑凯        	1246   	16338    	5063   	2016-11-22	2016-11-22 20:54:25
任贤齐       	166588 	8254000  	265439 	2016-11-22	2016-11-22 20:54:29
王源        	16553  	3493995  	602841 	2016-11-22	2016-11-22 20:54:33
石悦安鑫      	2329   	62449    	2062   	2016-11-22	2016-11-22 20:54:37
张铁林       	2022   	54241    	1252   	2016-11-22	2016-11-22 20:54:42
王斑        	4445   	64944    	12049  	2016-11-22	2016-11-22 20:54:46
翟天临       	5594   	210108   	14080  	2016-11-22	2016-11-22 20:54:50
李宁        	25619  	1582020  	294969 	2016-11-22	2016-11-22 20:54:54
王挺        	2817   	33391    	836    	2016-11-22	2016-11-22 20:54:58
张纪中       	19457  	346343   	126430 	2016-11-22	2016-11-22 20:55:03
谭耀文       	4743   	85110    	2257   	2016-11-22	2016-11-22 20:55:07
王奎荣       	188    	808      	169    	2016-11-22	2016-11-22 20:55:11
潘玮柏       	625654 	14957661 	351520 	2016-11-22	2016-11-22 20:55:15
孙兴        	7091   	266143   	5648   	2016-11-22	2016-11-22 20:55:19
黄秋生       	4849   	75994    	10118  	2016-11-22	2016-11-22 20:55:23
芦芳生       	2062   	81213    	6637   	2016-11-22	2016-11-22 20:55:28
李雪健       	2679   	92383    	13008  	2016-11-22	2016-11-22 20:55:32
邵峰        	13714  	266555   	5528   	2016-11-22	2016-11-22 20:55:36
吴彦祖       	31790  	867550   	281126 	2016-11-22	2016-11-22 20:55:40
王劲松       	1053   	23973    	899    	2016-11-22	2016-11-22 20:55:44
夏雨        	1706   	31305    	16358  	2016-11-22	2016-11-22 20:55:49
王千源       	1      	1        	114    	2016-11-22	2016-11-22 20:55:53
崔志佳       	292    	11401    	1544   	2016-11-22	2016-11-22 20:55:57
刘小峰       	63     	250      	17     	2016-11-22	2016-11-22 20:56:01
赫子铭       	220    	2537     	1034   	2016-11-22	2016-11-22 20:56:05
林保怡       	12041  	950067   	20394  	2016-11-22	2016-11-22 20:56:09
刘小光       	3831   	35437    	3625   	2016-11-22	2016-11-22 20:56:13
温兆伦       	19804  	423903   	8636   	2016-11-22	2016-11-22 20:56:18
王绘春       	327    	2513     	214    	2016-11-22	2016-11-22 20:56:22
胡亚捷       	4422   	176107   	11887  	2016-11-22	2016-11-22 20:56:26
吴启华       	13680  	269685   	7348   	2016-11-22	2016-11-22 20:56:30
鲍国安       	4214   	145122   	11932  	2016-11-22	2016-11-22 20:56:34
张宁江       	482    	67581    	723    	2016-11-22	2016-11-22 20:56:39
张学友       	238752 	8482038  	653018 	2016-11-22	2016-11-22 20:56:43
陈晓东       	40043  	1286099  	252200 	2016-11-22	2016-11-22 20:56:47
汤镇业       	1600   	17234    	616    	2016-11-22	2016-11-22 20:56:51
李滨        	1787   	30841    	1769   	2016-11-22	2016-11-22 20:56:55
吴镇宇       	14776  	853302   	478781 	2016-11-22	2016-11-22 20:57:00
施京明       	1128   	46683    	586    	2016-11-22	2016-11-22 20:57:04
陈宝国       	4348   	136259   	2477   	2016-11-22	2016-11-22 20:57:08
张晞临       	636    	11767    	547    	2016-11-22	2016-11-22 20:57:12
杨俊毅       	30189  	2175442  	10113  	2016-11-22	2016-11-22 20:57:16
曹炳琨       	4492   	44236    	2149   	2016-11-22	2016-11-22 20:57:20
姚奕辰       	427    	7996     	561    	2016-11-22	2016-11-22 20:57:25
陈豪        	13813  	304590   	31587  	2016-11-22	2016-11-22 20:57:29
司马南       	9456   	116201   	13205  	2016-11-22	2016-11-22 20:57:33
刘德凯       	7773   	154339   	4318   	2016-11-22	2016-11-22 20:57:37
大张伟       	32804  	910826   	148661 	2016-11-22	2016-11-22 20:57:41
梁烈唯       	3013   	54301    	3946   	2016-11-22	2016-11-22 20:57:46
修杰楷       	8146   	231311   	16364  	2016-11-22	2016-11-22 20:57:50
孙淳        	5577   	151621   	12608  	2016-11-22	2016-11-22 20:57:54
李子雄       	876    	7980     	730    	2016-11-22	2016-11-22 20:57:58
宗峰岩       	1708   	27007    	2486   	2016-11-22	2016-11-22 20:58:02
岳跃利       	6483   	314186   	1591   	2016-11-22	2016-11-22 20:58:07
冯恩鹤       	159    	15555    	121    	2016-11-22	2016-11-22 20:58:11
立威廉       	17102  	475461   	5892   	2016-11-22	2016-11-22 20:58:15
范鸿轩       	1378   	68179    	757    	2016-11-22	2016-11-22 20:58:19
迟帅        	5952   	85507    	3305   	2016-11-22	2016-11-22 20:58:23
王雨        	6590   	413069   	6653   	2016-11-22	2016-11-22 20:58:27
吴建豪       	41930  	1596956  	38029  	2016-11-22	2016-11-22 20:58:32
宁文彤       	221    	1178     	89     	2016-11-22	2016-11-22 20:58:36
吴岱融       	3902   	151057   	14577  	2016-11-22	2016-11-22 20:58:40
董慧        	2767   	120529   	12638  	2016-11-22	2016-11-22 20:58:44
张兆辉       	6035   	102007   	1880   	2016-11-22	2016-11-22 20:58:49
陈冠霖       	8715   	296641   	9497   	2016-11-22	2016-11-22 20:58:53
张睿家       	2449   	24206    	1908   	2016-11-22	2016-11-22 20:58:57
郎峰        	3321   	106894   	12179  	2016-11-22	2016-11-22 20:59:01
耿乐        	1054   	6290     	519    	2016-11-22	2016-11-22 20:59:05
高亚麟       	711    	2848     	345    	2016-11-22	2016-11-22 20:59:09
张晨光       	2803   	36231    	1349   	2016-11-22	2016-11-22 20:59:13
胡彦斌       	102476 	2645313  	273079 	2016-11-22	2016-11-22 20:59:18
檀健次       	10298  	598180   	30922  	2016-11-22	2016-11-22 20:59:22
张伦硕       	784    	11034    	10060  	2016-11-22	2016-11-22 20:59:26
高虎        	2094   	30180    	12199  	2016-11-22	2016-11-22 20:59:30
沈腾        	2580   	46287    	12849  	2016-11-22	2016-11-22 20:59:34
韩童生       	89     	338      	116    	2016-11-22	2016-11-22 20:59:39
凌潇肃       	8106   	116497   	2741   	2016-11-22	2016-11-22 20:59:43
汤镇宗       	       	25566    	363    	2016-11-22	2016-11-22 20:59:47
李解        	13520  	484856   	17239  	2016-11-22	2016-11-22 20:59:51
刘劲        	1886   	24665    	599    	2016-11-22	2016-11-22 20:59:55
张耀扬       	4453   	75175    	10436  	2016-11-22	2016-11-22 20:59:59
秦汉        	5459   	219297   	5593   	2016-11-22	2016-11-22 21:00:04
喻恩泰       	16512  	258908   	4780   	2016-11-22	2016-11-22 21:00:08
陈国坤       	3583   	71493    	6651   	2016-11-22	2016-11-22 21:00:12
吴俊余       	180869 	9475974  	244049 	2016-11-22	2016-11-22 21:00:16
陈创        	657    	4925     	505    	2016-11-22	2016-11-22 21:00:20
刘心        	107788 	3703042  	323368 	2016-11-22	2016-11-22 21:00:24
于小伟       	3922   	29713    	1090   	2016-11-22	2016-11-22 21:00:29
赵锦焘       	360    	2298     	136    	2016-11-22	2016-11-22 21:00:33
钱雁秋       	1200   	49047    	3479   	2016-11-22	2016-11-22 21:00:37
谭俊彦       	113    	1158     	201    	2016-11-22	2016-11-22 21:00:41
温升豪       	2739   	28664    	1038   	2016-11-22	2016-11-22 21:00:45
姜寒        	770    	7338     	50266  	2016-11-22	2016-11-22 21:00:49
周柏豪       	14599  	687049   	65040  	2016-11-22	2016-11-22 21:00:53
多亮        	18150  	908976   	241139 	2016-11-22	2016-11-22 21:00:58
何政军       	1531   	12116    	533    	2016-11-22	2016-11-22 21:01:02
唐曾        	1551   	19660    	534    	2016-11-22	2016-11-22 21:01:06
张天阳       	301    	9702     	513    	2016-11-22	2016-11-22 21:01:10
王刚        	1223   	17671    	2256   	2016-11-22	2016-11-22 21:01:14
谢承均       	1841   	176215   	3913   	2016-11-22	2016-11-22 21:01:18
江华        	14130  	412961   	19124  	2016-11-22	2016-11-22 21:01:23
吕颂贤       	5468   	64208    	6405   	2016-11-22	2016-11-22 21:01:27
马文龙       	3188   	75396    	1238   	2016-11-22	2016-11-22 21:01:31
沈春阳       	1084   	14153    	12880  	2016-11-22	2016-11-22 21:01:35
于小彤       	14307  	513147   	32161  	2016-11-22	2016-11-22 21:01:40
周一围       	5565   	82669    	2053   	2016-11-22	2016-11-22 21:01:44
梁家仁       	701    	10235    	349    	2016-11-22	2016-11-22 21:01:48
王宥胜       	6072   	163358   	3032   	2016-11-22	2016-11-22 21:01:52
王学兵       	8299   	147212   	1486   	2016-11-22	2016-11-22 21:01:56
于朦胧       	35193  	3623785  	326171 	2016-11-22	2016-11-22 21:02:01
杨立新       	1337   	22355    	585    	2016-11-22	2016-11-22 21:02:05
李乃文       	454    	3772     	379    	2016-11-22	2016-11-22 21:02:09
于谦        	3228   	70426    	4605   	2016-11-22	2016-11-22 21:02:13
李洪涛       	732    	9410     	482    	2016-11-22	2016-11-22 21:02:17
张少华       	598    	3981     	558    	2016-11-22	2016-11-22 21:02:21
姚刚        	1468   	24351    	529    	2016-11-22	2016-11-22 21:02:26
王一鸣       	7483   	207383   	17477  	2016-11-22	2016-11-22 21:02:30
经超        	265    	3416     	966    	2016-11-22	2016-11-22 21:02:34
赵荀        	543    	10424    	791    	2016-11-22	2016-11-22 21:02:38
马景涛       	6137   	212152   	5450   	2016-11-22	2016-11-22 21:02:42
林申        	8024   	204623   	21298  	2016-11-22	2016-11-22 21:02:46
金城武       	10498  	211119   	21389  	2016-11-22	2016-11-22 21:02:51
乔杉        	571    	3993     	1685   	2016-11-22	2016-11-22 21:02:55
方力申       	32440  	807310   	25870  	2016-11-22	2016-11-22 21:02:59
李保田       	2070   	62300    	12099  	2016-11-22	2016-11-22 21:03:03
秦沛        	3026   	195043   	23638  	2016-11-22	2016-11-22 21:03:07
黄智贤       	       	15456    	768    	2016-11-22	2016-11-22 21:03:11
张笑君       	83     	344      	34     	2016-11-22	2016-11-22 21:03:16
涂松岩       	1345   	13146    	455    	2016-11-22	2016-11-22 21:03:20
王杰        	108602 	2796261  	285852 	2016-11-22	2016-11-22 21:03:24
陆虎        	86416  	2196216  	44466  	2016-11-22	2016-11-22 21:03:28
修睿        	692    	6066     	1435   	2016-11-22	2016-11-22 21:03:32
丁志诚       	9283   	275219   	2494   	2016-11-22	2016-11-22 21:03:36
狄龙        	5262   	197022   	4565   	2016-11-22	2016-11-22 21:03:41
徐嘉苇       	28797  	944052   	23173  	2016-11-22	2016-11-22 21:03:45
曹永廉       	2639   	22354    	580    	2016-11-22	2016-11-22 21:03:49
高伟光       	607    	19968    	2950   	2016-11-22	2016-11-22 21:03:53
范明        	1056   	5004     	738    	2016-11-22	2016-11-22 21:03:57
王同辉       	390    	2138     	207    	2016-11-22	2016-11-22 21:04:01
刘智扬       	864    	23724    	2060   	2016-11-22	2016-11-22 21:04:05
孙海英       	473    	33196    	690    	2016-11-22	2016-11-22 21:04:10
谢孟伟       	720    	3819     	624    	2016-11-22	2016-11-22 21:04:14
刘青云       	       	         	       	2016-11-22	2016-11-22 21:04:18
杨念生       	1725   	82633    	5379   	2016-11-22	2016-11-22 21:04:22
陆树铭       	2444   	29323    	944    	2016-11-22	2016-11-22 21:04:26
黎诺懿       	       	42129    	1591   	2016-11-22	2016-11-22 21:04:31
洪卫        	542    	11648    	780    	2016-11-22	2016-11-22 21:04:35
许绍洋       	27103  	1348752  	5978   	2016-11-22	2016-11-22 21:04:39
沈建宏       	6335   	62210    	1719   	2016-11-22	2016-11-22 21:04:43
尤勇        	576    	7304     	319    	2016-11-22	2016-11-22 21:04:47
赵恒煊       	423    	3575     	200    	2016-11-22	2016-11-22 21:04:51
冯远征       	595    	3280     	594    	2016-11-22	2016-11-22 21:04:56
修庆        	2864   	41088    	505    	2016-11-22	2016-11-22 21:05:00
曾江        	3171   	31707    	1704   	2016-11-22	2016-11-22 21:05:04
徐少强       	536    	4638     	544    	2016-11-22	2016-11-22 21:05:08
窦智孔       	14204  	506880   	37509  	2016-11-22	2016-11-22 21:05:12
汪苏泷       	127780 	8595462  	626454 	2016-11-22	2016-11-22 21:05:17
程煜        	484    	15830    	1073   	2016-11-22	2016-11-22 21:05:21
李宗霖       	579    	19301    	2959   	2016-11-22	2016-11-22 21:05:25
斌子        	47     	141      	25     	2016-11-22	2016-11-22 21:05:29
柴格        	4435   	61069    	2290   	2016-11-22	2016-11-22 21:05:33
向鼎        	86858  	2150923  	32516  	2016-11-22	2016-11-22 21:05:37
丁子峻       	2326   	37242    	1953   	2016-11-22	2016-11-22 21:05:41
姜超        	3476   	46499    	11418  	2016-11-22	2016-11-22 21:05:46
吴建飞       	136035 	3541861  	28580  	2016-11-22	2016-11-22 21:05:50
李克勤       	40213  	857963   	144011 	2016-11-22	2016-11-22 21:05:54
王小利       	2078   	12210    	1442   	2016-11-22	2016-11-22 21:05:58
马晓伟       	699    	7893     	326    	2016-11-22	2016-11-22 21:06:02
洪剑涛       	775    	3235     	274    	2016-11-22	2016-11-22 21:06:06
孙杨        	20832  	1033458  	53568  	2016-11-22	2016-11-22 21:06:11
赵又廷       	11500  	446963   	237073 	2016-11-22	2016-11-22 21:06:15
盛一伦       	4581   	640069   	171772 	2016-11-22	2016-11-22 21:06:19
宋仲基       	21181  	4049366  	959916 	2016-11-22	2016-11-22 21:06:23
朴海镇       	28851  	1478341  	92293  	2016-11-22	2016-11-22 21:06:28
宋慧乔       	37078  	1338964  	366200 	2016-11-22	2016-11-22 21:06:32
宋威龙       	1010   	269818   	42960  	2016-11-22	2016-11-22 21:06:36
陈若轩       	1006   	39904    	10500  	2016-11-22	2016-11-22 21:06:40
张芷溪       	2115   	44806    	13018  	2016-11-22	2016-11-22 21:06:44
黄景瑜       	9489   	874439   	101490 	2016-11-22	2016-11-22 21:06:48
黄子韬       	35106  	6211949  	1816147	2016-11-22	2016-11-22 21:06:53
金智媛       	2734   	136273   	249278 	2016-11-22	2016-11-22 21:06:57
金秀贤       	52753  	28161784 	1326865	2016-11-22	2016-11-22 21:07:01
袁文康       	1230   	27853    	1690   	2016-11-22	2016-11-22 21:07:05
朴信惠       	38350  	3837448  	771335 	2016-11-22	2016-11-22 21:07:09
李钟硕       	19805  	5699186  	1174136	2016-11-22	2016-11-22 21:07:13
张彬彬       	673    	32288    	20313  	2016-11-22	2016-11-22 21:07:18
李敏镐       	112716 	14649968 	1445448	2016-11-22	2016-11-22 21:07:22
彩旗        	86     	1828     	244    	2016-11-22	2016-11-22 21:07:26
郑秀晶       	31579  	5958152  	959875 	2016-11-22	2016-11-22 21:07:30
蓝盈莹       	873    	20846    	1004   	2016-11-22	2016-11-22 21:07:34
林允儿       	56348  	7734399  	1441199	2016-11-22	2016-11-22 21:07:39
陈紫函       	35037  	1815888  	95839  	2016-11-22	2016-11-22 21:07:43
罗云熙       	2762   	126222   	18515  	2016-11-22	2016-11-22 21:07:47
何晴        	1116   	47869    	1702   	2016-11-22	2016-11-22 21:07:51
孙怡        	1247   	35400    	7686   	2016-11-22	2016-11-22 21:07:56
温流        	23083  	905118   	253428 	2016-11-22	2016-11-22 21:08:00
郑智薰       	204869 	8187123  	545615 	2016-11-22	2016-11-22 21:08:04
屈菁菁       	334    	1965     	636    	2016-11-22	2016-11-22 21:08:08
海陆        	21406  	3049342  	155857 	2016-11-22	2016-11-22 21:08:12
许魏洲       	5115   	909331   	95073  	2016-11-22	2016-11-22 21:08:16
刘芮麟       	1213   	46901    	3934   	2016-11-22	2016-11-22 21:08:21
杜天皓       	701    	12864    	3563   	2016-11-22	2016-11-22 21:08:25
李现        	774    	36931    	3775   	2016-11-22	2016-11-22 21:08:29
何奉天       	101    	1407     	166    	2016-11-22	2016-11-22 21:08:33
米热        	1049   	32222    	3995   	2016-11-22	2016-11-22 21:08:37
成梓宁       	92     	5107     	123    	2016-11-22	2016-11-22 21:08:41
